firstnum,secondnum,mean,stddev,median,user,system,min,max
10,10,0.003693919,0.000396712,0.003582543,0.001112571,0.000100601,0.002866434,0.005201688
11,10,0.003719079,0.000408394,0.003628218,0.001127095,8.8911E-05,0.0029075,0.005389156
12,10,0.003706502,0.000389815,0.003575851,0.001130116,0.000081698,0.00298807,0.005328493
13,10,0.004024552,0.000514749,0.003954271,0.00122332,0.000120467,0.00318144,0.007756714
14,10,0.003724051,0.000402619,0.003712641,0.001145905,0.00009582,0.003076314,0.005081644
15,10,0.003736206,0.000485132,0.003634054,0.001143584,0.000087917,0.003084069,0.012358287
16,10,0.003748978,0.000386099,0.003732458,0.001144339,0.000115602,0.003044595,0.00528963
17,10,0.003761256,0.000418849,0.003727389,0.001144246,0.00010864,0.002857095,0.005177732
18,10,0.003804825,0.000443886,0.003751654,0.00117622,0.000093015,0.002977169,0.006295201
19,10,0.003771527,0.000399718,0.003760835,0.001143936,0.000124063,0.003000723,0.005041598
20,10,0.003797194,0.000449827,0.003736498,0.001165021,0.000102299,0.003053903,0.007082213
21,10,0.003778313,0.000398085,0.003691529,0.001158272,0.000106702,0.003065583,0.005576191
22,10,0.003869927,0.000414275,0.003820221,0.001223865,0.000088368,0.002985957,0.00645899
23,10,0.0038301,0.000463089,0.003767658,0.001189058,0.000107448,0.002914874,0.00586099
24,10,0.003825081,0.00046896,0.003783012,0.001186912,0.000110086,0.002985285,0.0072958
25,10,0.003726487,0.000384754,0.00363302,0.001141539,0.000121765,0.002965778,0.005173378
26,10,0.003758459,0.000456786,0.003633548,0.001150897,0.000118676,0.002860462,0.009181376
27,10,0.003774667,0.000396148,0.003767608,0.001208816,0.000090489,0.002898563,0.005626558
28,10,0.003867204,0.000554496,0.003822786,0.00119706,0.0001261,0.003010923,0.010110264
29,10,0.003787526,0.000399047,0.003695278,0.001189098,0.000103825,0.003069251,0.005003741
30,10,0.003806373,0.00039927,0.003782967,0.001195764,0.000107878,0.002919162,0.005855655
31,10,0.00382723,0.000409362,0.003809151,0.001201941,0.000118695,0.002965608,0.006799494
32,10,0.003799721,0.000401468,0.003790081,0.001223832,0.00009866,0.002973462,0.005487929
33,10,0.003819112,0.000417729,0.00378723,0.001211632,0.000117919,0.003083969,0.005802506
34,10,0.00379738,0.000409804,0.003699108,0.001225394,8.9384E-05,0.002890408,0.005178683
35,10,0.003797358,0.000374916,0.003729322,0.001215582,0.000111399,0.002820789,0.005597304
36,10,0.003816334,0.000424699,0.003751137,0.001243537,8.9059E-05,0.003009149,0.005704994
37,10,0.003870709,0.0004014,0.003843708,0.001253055,0.000105038,0.003194756,0.005412664
38,10,0.003804607,0.000380969,0.003698605,0.001222403,0.000113537,0.003198452,0.005273997
39,10,0.003952198,0.000411019,0.003863868,0.001255603,0.000115507,0.003200156,0.005859683
40,10,0.00394392,0.000392734,0.003848424,0.00124414,0.000120676,0.003151605,0.005147986
41,10,0.004011952,0.000451209,0.003924095,0.001281537,0.000107498,0.003330107,0.005881404
42,10,0.004035166,0.000493726,0.003967751,0.001300683,0.000107687,0.003199244,0.008149482
43,10,0.004001869,0.000450665,0.00391339,0.001273938,0.000126565,0.003277039,0.007073865
44,10,0.0040142,0.000455586,0.003891098,0.001294436,0.000111828,0.003082216,0.007032477
45,10,0.003991833,0.000399347,0.003953264,0.001296783,0.000122586,0.003325799,0.005883618
46,10,0.004057851,0.000433556,0.00402272,0.00131631,0.000128228,0.003011022,0.005751692
47,10,0.004002366,0.000415854,0.003858518,0.001294182,0.000116168,0.003254777,0.005550115
48,10,0.004025538,0.000413855,0.0038869,0.001300464,0.000122336,0.003161294,0.0056939
49,10,0.004032072,0.000412739,0.003940403,0.001309169,0.000131312,0.003386964,0.005554233
50,10,0.004083732,0.000411388,0.004056935,0.001334944,0.000141522,0.003282028,0.005375901
51,10,0.004086412,0.000422728,0.004050413,0.00136398,0.000116529,0.00332116,0.005533696
52,10,0.004094638,0.000435853,0.004057143,0.001351312,0.000136605,0.003301605,0.006071869
53,10,0.004060131,0.000429862,0.003909683,0.001349028,0.000108871,0.003451143,0.005847635
54,10,0.004180864,0.000442319,0.004026917,0.00137026,0.000114668,0.003306944,0.005837501
55,10,0.004217142,0.000444232,0.004146435,0.001372488,0.0001537,0.003507378,0.005778282
56,10,0.004227002,0.000453571,0.004079197,0.00139231,0.000126675,0.003267681,0.006104369
57,10,0.004237597,0.000443205,0.004099372,0.001404009,0.000118364,0.003446464,0.006167437
58,10,0.00421539,0.000427452,0.004082085,0.001416327,0.000107233,0.00354652,0.006018149
59,10,0.004250941,0.000489743,0.004092894,0.001412248,0.000129465,0.003549036,0.009022047
60,10,0.004256164,0.000448398,0.00412826,0.001431324,0.000124464,0.003553243,0.005865013
