stations,connections,lines,mean,stddev,median,user,system,min,max
100,100,200,0.005052244500000001,0.0001894149583898624,0.005032884,0.0018521000000000002,0.0,0.004745279000000001,0.005347422
200,200,200,0.0062430174,0.0003364907115195504,0.0062062665,0.0025811000000000002,0.0003065,0.0057604530000000004,0.006823579000000001
300,300,200,0.007749547900000001,0.00047069391405820554,0.007689745500000001,0.003432199999999999,0.0008713,0.0071524430000000005,0.008828583000000001
400,400,200,0.0081796679,0.00012355786006514448,0.008228082500000001,0.0040253,0.0010089,0.007921131,0.008316068000000001
500,500,200,0.009325427200000003,0.00014102402570074528,0.009344613000000002,0.0061363,0.0,0.009102069,0.009465808000000001
600,600,200,0.010507955300000002,0.0006196506228776646,0.010489606000000002,0.005608799999999999,0.0014326999999999999,0.009665134,0.011588311
700,700,200,0.011520271299999999,0.0007882995814043247,0.0114655665,0.008082200000000001,0.0,0.010660240000000001,0.012901299000000001
800,800,200,0.012615741900000001,0.0005994251574136026,0.012480262,0.0081882,0.0008737999999999999,0.011910311000000002,0.013847457
900,900,200,0.013281891700000001,0.0005284346785745928,0.012995603000000001,0.009363099999999997,0.0005215,0.012857467000000001,0.014111797
1000,1000,200,0.0145532578,0.0006440225082006577,0.014711598000000001,0.0110665,0.0,0.013514694,0.015648261
1100,1100,200,0.0157442443,0.0007220753764468778,0.015772932500000003,0.0116313,0.0006466999999999999,0.014523887000000001,0.016844868000000002
1200,1200,200,0.016897280800000004,0.000804566218169186,0.016614578,0.012562399999999998,0.0007231,0.015909179000000002,0.018214567
1300,1300,200,0.017709401899999998,0.0007761603279273701,0.0175212545,0.013540499999999997,0.0006953,0.016760947,0.018869959000000002
1400,1400,200,0.0195443961,0.0006954631583520356,0.0194918605,0.014310199999999999,0.0016264,0.018578437,0.020835256
1500,1500,200,0.020054380500000003,0.000768031533123659,0.019995934,0.016456000000000002,0.0,0.01870379,0.021095951
1600,1600,200,0.021236735299999997,0.001022329793618375,0.0213421555,0.0167543,0.000839,0.019290734,0.022645372
1700,1700,200,0.022858045,0.0009404205165402224,0.022729025,0.019013199999999997,0.0,0.02153097,0.024141751000000003
1800,1800,200,0.024125667800000004,0.0012721532023256914,0.024125417000000003,0.019749399999999997,0.000724,0.022560002000000003,0.025694007
1900,1900,200,0.025298887900000004,0.0009138730051541263,0.025038557000000003,0.0215559,0.0,0.024415271000000002,0.026927245000000002
2000,2000,200,0.0261967208,0.0006420754143217135,0.025914627500000002,0.021568999999999998,0.0007509999999999999,0.025620439000000002,0.027428151
2100,2100,200,0.0283665233,0.0012075273372764745,0.0281732095,0.024452199999999997,0.0,0.026927537,0.030923409000000002
2200,2200,200,0.030509149800000003,0.001260490585687775,0.03023149,0.025653500000000003,0.0008916999999999999,0.028269950000000002,0.032641232
2300,2300,200,0.030884049099999998,0.0009822058137906237,0.030589376,0.0260478,0.0008647,0.029508935000000003,0.032214215000000004
2400,2400,200,0.0326051474,0.0011019979271174487,0.032485411500000005,0.0284937,0.0,0.030629811000000003,0.034541928
2500,2500,200,0.0338656189,0.0014488637653410764,0.0340701385,0.027951300000000002,0.0017037999999999997,0.031810323,0.036345340000000004
2600,2600,200,0.034606567600000006,0.0009973960210858182,0.034494068,0.0287059,0.0017999000000000001,0.032813113000000005,0.036453741000000005
2700,2700,200,0.0366027261,0.0018952429711660502,0.036798300500000006,0.0325992,0.0,0.033835829000000005,0.039169197
2800,2800,200,0.0376157509,0.0014650100113872892,0.0373302975,0.031531,0.0019679,0.035514832,0.040397072
2900,2900,200,0.03988389120000001,0.0019054117687985342,0.03946203100000001,0.0335656,0.0018053,0.037771378,0.043234415000000005
3000,3000,200,0.040805778900000006,0.0013394806797718656,0.0407196805,0.035515599999999994,0.0009268,0.039119853,0.04288563
3100,3100,200,0.0431785146,0.001612382361590741,0.04302605250000001,0.038825700000000005,0.0,0.040640518,0.045460037
3200,3200,200,0.0439035473,0.0017203772224940188,0.043831874500000007,0.039735200000000005,0.0,0.041194452,0.046888450000000005
3300,3300,200,0.045015887399999996,0.0014649376269438299,0.044943615500000006,0.038856299999999996,0.0018255,0.043288399000000005,0.047437296000000004
3400,3400,200,0.04731114530000001,0.0017112824880667098,0.047159768000000005,0.042112899999999995,0.0008192999999999999,0.045229878,0.050039488
3500,3500,200,0.048737260500000004,0.0019424658277839796,0.048510778500000004,0.0422898,0.001976,0.045516724,0.052566359
3600,3600,200,0.04981952629999999,0.0017303595570918556,0.049031522,0.04433820000000001,0.0008860999999999999,0.04815879,0.053326521
3700,3700,200,0.053523352499999996,0.004095344169143085,0.05189073600000001,0.0460842,0.0028444,0.050488446000000006,0.062988424
3800,3800,200,0.052676811899999995,0.001202961267602804,0.052313435000000005,0.0466044,0.0015753,0.050895344,0.054252575000000004
3900,3900,200,0.0550423957,0.001364095454988565,0.055697274500000005,0.049494800000000005,0.0008503,0.052571089,0.056446838000000006
4000,4000,200,0.05610242359999999,0.001694786102292964,0.05675709650000001,0.051238299999999994,0.0,0.052758849000000003,0.057679145
4100,4100,200,0.056141667900000004,0.0017596200964593617,0.0551890415,0.0489322,0.002549,0.054180661000000005,0.058855359
4200,4200,200,0.0586629335,0.0018884885743385281,0.059101150500000005,0.0528805,0.0010515,0.055943416,0.062145953000000004
4300,4300,200,0.060356343800000004,0.002934559753814825,0.060033706500000006,0.0528002,0.0027205,0.056684831000000005,0.067796704
4400,4400,200,0.06332370370000001,0.002125127734714424,0.062645059,0.0573221,0.0009471999999999999,0.061012953,0.067334612
4500,4500,200,0.0629254239,0.0013976572778915492,0.062512232,0.0561438,0.0019057999999999998,0.061188139,0.065113972
4600,4600,200,0.065914012,0.0023364066785686085,0.0654178745,0.0609911,0.0,0.063320533,0.071410665
4700,4700,200,0.0672222896,0.0018716526879053673,0.066688299,0.06130209999999999,0.0008797,0.06485592,0.071060967
4800,4800,200,0.0677997145,0.0017164884699460785,0.067915169,0.0618648,0.0008831,0.065171268,0.07034238000000001
4900,4900,200,0.06924745759999999,0.001890785667870558,0.0688321145,0.0631335,0.000946,0.066140976,0.07146013600000001
5000,5000,200,0.069715584,0.0016411441789167165,0.069515219,0.0646418,0.0,0.06707431700000001,0.071830236
5100,5100,200,0.07703024979999999,0.0068235656496928665,0.075367363,0.0700683,0.0018075,0.069003464,0.09020707800000001
5200,5200,200,0.0740472098,0.00154786229422544,0.0741289235,0.0653077,0.0036631999999999997,0.070940788,0.076049605
5300,5300,200,0.07539581299999999,0.001987105789697895,0.074891786,0.0680079,0.0019589,0.072969245,0.07819537600000001
5400,5400,200,0.07657699040000002,0.0017833587224670082,0.0764628265,0.0696077,0.0018103000000000001,0.07319399700000001,0.07970529400000001
5500,5500,200,0.0779751518,0.001805525453407021,0.077897241,0.069882,0.0028441,0.075860969,0.08102523
5600,5600,200,0.07921951950000002,0.0018705531092597077,0.0792673665,0.07075250000000001,0.0028654999999999996,0.076295077,0.082215152
5700,5700,200,0.08481923840000002,0.005114008569181328,0.0830298775,0.07806679999999999,0.0009738,0.080418692,0.09458274700000001
